台番,レート,機種名,列,行
123,p4,PAスーパー海物語IN沖縄6RBD,49,58
125,p4,PAスーパー海物語IN沖縄6RBD,48,58
126,p4,PAスーパー海物語IN沖縄6RBD,47,58
127,p4,PA新海物語ARBB,46,58
128,p4,PA新海物語ARBB,45,58
130,p4,PA新海物語ARBB,44,58
131,p4,PA新海物語ARBB,43,58
132,p4,PA新海物語ARBB,42,58
133,p4,P大海物語4スペシャルSCA,41,58
135,p4,P大海物語4スペシャルSCA,40,58
136,p4,P大海物語4スペシャルSCA,39,58
137,p4,P大海物語4スペシャルSCA,38,58
138,p4,P大海物語4スペシャルSCA,37,58
150,p4,P大海物語5HCL,36,58
151,p4,P大海物語5HCL,35,58
152,p4,P大海物語5HCL,34,58
153,p4,P大海物語5HCL,33,58
155,p4,P大海物語5HCL,32,58
156,p4,PA大海物語5ARBC,32,55
157,p4,PA大海物語5ARBC,33,55
158,p4,PA大海物語5ARBC,34,55
160,p4,PA大海物語5ARBC,35,55
161,p4,PA大海物語5ARBC,36,55
162,p4,PA大海物語5ARBC,37,55
163,p4,PA大海物語5ARBC,38,55
165,p4,PA大海物語5ARBC,39,55
166,p4,PA大海物語5ARBC,40,55
167,p4,PA大海物語5ARBC,41,55
168,p4,PA大海物語5HLD,42,55
170,p4,PA大海物語5HLD,43,55
171,p4,PA大海物語5HLD,44,55
172,p4,PA大海物語5HLD,45,55
173,p4,PA大海物語5HLD,46,55
175,p4,PA海物語極ジャパンHBD,47,55
176,p4,PA海物語極ジャパンHBD,48,55
177,p4,PA海物語極ジャパンHBD,49,55
178,p4,PA海物語3R3LBA,50,55
180,p4,PA海物語3R3LBA,51,55
181,p4,P大海物語5スペシャルALTA,51,54
182,p4,P大海物語5スペシャルALTA,50,54
183,p4,P大海物語5スペシャルALTA,49,54
185,p4,P大海物語5スペシャルALTA,48,54
186,p4,P大海物語5スペシャルALTA,47,54
187,p4,P大海物語5スペシャルALTA,46,54
188,p4,P大海物語5スペシャルALTA,45,54
200,p4,P大海物語5スペシャルALTA,44,54
201,p4,P大海物語5スペシャルALTA,43,54
202,p4,P大海物語5スペシャルALTA,42,54
203,p4,P大海物語5スペシャルALTA,41,54
205,p4,P大海物語5スペシャルALTA,40,54
206,p4,P大海物語5スペシャルALTA,39,54
207,p4,P大海物語5スペシャルALTA,38,54
208,p4,P大海物語5スペシャルALTA,37,54
210,p4,P大海物語5スペシャルALTA,36,54
211,p4,P大海物語5スペシャルALTA,35,54
212,p4,P大海物語5スペシャルALTA,34,54
213,p4,P大海物語5スペシャルALTA,33,54
215,p4,P大海物語5スペシャルALTA,32,54
216,p4,P大海物語5スペシャルALTA,32,51
217,p4,P大海物語5スペシャルALTA,33,51
218,p4,P大海物語5スペシャルALTA,34,51
220,p4,P大海物語5スペシャルALTA,35,51
221,p4,P大海物語5スペシャルALTA,36,51
222,p4,P大海物語5スペシャルALTA,37,51
223,p4,P大海物語5スペシャルALTA,38,51
225,p4,P大海物語5スペシャルALTA,39,51
226,p4,P大海物語5スペシャルALTA,40,51
227,p4,P大海物語5スペシャルALTA,41,51
228,p4,P大海物語5スペシャルALTA,42,51
230,p4,P大海物語5スペシャルALTA,43,51
231,p4,P大海物語5スペシャルALTA,44,51
232,p4,P大海物語5スペシャルALTA,45,51
233,p4,P大海物語5スペシャルALTA,46,51
235,p4,P大海物語5スペシャルALTA,47,51
236,p4,P大海物語5スペシャルALTA,48,51
237,p4,P大海物語5スペシャルALTA,49,51
238,p4,P大海物語5スペシャルALTA,50,51
250,p4,P大海物語5スペシャルALTA,51,51
251,p4,P大海物語5スペシャルALTA,51,50
252,p4,P大海物語5スペシャルALTA,50,50
253,p4,P大海物語5スペシャルALTA,49,50
255,p4,P大海物語5スペシャルALTA,48,50
256,p4,P大海物語5スペシャルALTA,47,50
257,p4,P大海物語5スペシャルALTA,46,50
258,p4,P大海物語5スペシャルALTA,45,50
260,p4,P大海物語5スペシャルALTA,44,50
261,p4,P大海物語5スペシャルALTA,43,50
262,p4,P大海物語5スペシャルALTA,42,50
263,p4,P大海物語5スペシャルALTA,41,50
265,p4,P大海物語5スペシャルALTA,40,50
266,p4,P大海物語5スペシャルALTA,39,50
267,p4,P大海物語5スペシャルALTA,38,50
268,p4,P大海物語5スペシャルALTA,37,50
270,p4,P大海物語5スペシャルALTA,36,50
271,p4,P大海物語5スペシャルALTA,35,50
272,p4,P大海物語5スペシャルALTA,34,50
273,p4,P大海物語5スペシャルALTA,33,50
275,p4,P大海物語5スペシャルALTA,32,50
276,p4,P大海物語5スペシャルALTA,32,47
277,p4,P大海物語5スペシャルALTA,33,47
278,p4,P大海物語5スペシャルALTA,34,47
280,p4,P大海物語5スペシャルALTA,35,47
281,p4,P大海物語5スペシャルALTA,36,47
282,p4,P大海物語5スペシャルALTA,37,47
283,p4,P大海物語5スペシャルALTA,38,47
285,p4,P大海物語5スペシャルALTA,39,47
286,p4,P大海物語5スペシャルALTA,40,47
287,p4,P大海物語5スペシャルALTA,41,47
288,p4,P大海物語5スペシャルALTA,42,47
300,p4,P大海物語5スペシャルALTA,43,47
301,p4,P大海物語5スペシャルALTA,44,47
302,p4,P大海物語5スペシャルALTA,45,47
303,p4,P大海物語5スペシャルALTA,46,47
305,p4,P大海物語5スペシャルALTA,47,47
306,p4,P大海物語5スペシャルALTA,48,47
307,p4,P大海物語5スペシャルALTA,49,47
308,p4,P大海物語5スペシャルALTA,50,47
310,p4,P大海物語5スペシャルALTA,51,47
311,p4,P新世紀エヴァンゲリオン15 未来への咆哮,51,46
312,p4,P新世紀エヴァンゲリオン15 未来への咆哮,50,46
313,p4,P新世紀エヴァンゲリオン15 未来への咆哮,49,46
315,p4,P新世紀エヴァンゲリオン15 未来への咆哮,48,46
316,p4,P新世紀エヴァンゲリオン15 未来への咆哮,47,46
317,p4,P新世紀エヴァンゲリオン15 未来への咆哮,46,46
318,p4,P新世紀エヴァンゲリオン15 未来への咆哮,45,46
320,p4,P新世紀エヴァンゲリオン15 未来への咆哮,44,46
321,p4,P新世紀エヴァンゲリオン15 未来への咆哮,43,46
322,p4,P新世紀エヴァンゲリオン15 未来への咆哮,42,46
323,p4,P新世紀エヴァンゲリオン15 未来への咆哮,41,46
325,p4,P新世紀エヴァンゲリオン15 未来への咆哮,40,46
326,p4,P新世紀エヴァンゲリオン15 未来への咆哮,39,46
327,p4,P新世紀エヴァンゲリオン15 未来への咆哮,38,46
328,p4,P新世紀エヴァンゲリオン15 未来への咆哮,37,46
330,p4,P新世紀エヴァンゲリオン15 未来への咆哮,36,46
331,p4,P新世紀エヴァンゲリオン15 未来への咆哮,35,46
332,p4,P新世紀エヴァンゲリオン15 未来への咆哮,34,46
333,p4,P新世紀エヴァンゲリオン15 未来への咆哮,33,46
335,p4,P新世紀エヴァンゲリオン15 未来への咆哮,32,46
336,p4,P北斗の拳暴凶星SFPA,32,43
337,p4,P北斗の拳暴凶星SFPA,33,43
338,p4,P北斗の拳暴凶星SFPA,34,43
350,p4,P北斗の拳暴凶星SFPA,35,43
351,p4,P北斗の拳暴凶星SFPA,36,43
352,p4,P北斗の拳暴凶星SFPA,37,43
353,p4,P北斗の拳暴凶星SFPA,38,43
355,p4,P北斗の拳暴凶星SFPA,39,43
356,p4,P北斗の拳暴凶星SFPA,40,43
357,p4,P北斗の拳暴凶星SFPA,41,43
358,p4,P牙狼11～冴島大河～XX－MU,42,43
360,p4,P／Re：ゼロから始める異世界生活鬼がかりver／L07,43,43
361,p4,PアズールレーンTHE ANIMATION～異次元トリガー199～M4,44,43
362,p4,P真北斗無双3ジャギの逆襲GEE,45,43
363,p4,P／Re：ゼロから始める異世界生活season2／M04,46,43
365,p4,P宇宙戦艦ヤマト2202－3MF,47,43
366,p4,PフィーバーうたわれるものZ,48,43
367,p4,Pシン・エヴァンゲリオンMV,49,43
368,p4,Pにゃんこ大戦争～多様性のネコ～M4,50,43
370,p4,P真北斗無双3ジャギの逆襲GEE,51,43
371,p4,e魔法少女リリカルなのはHTEZ2,51,42
372,p4,e／ガンゲイル・オンライン／M08,50,42
373,p4,eメイヒテンセイCMP,49,42
375,p4,eフィーバー炎炎ノ消防隊2MS,48,42
376,p4,e東京リベンジャーズGFEC,47,42
377,p4,e Re：ゼロから始める異世界生活 season2M13,46,42
378,p4,eフィーバーからくりサーカス2R,45,42
380,p4,e真北斗無双5夢幻闘双SCEA,44,42
381,p4,eガールズ＆パンツァー3LBH7,43,42
382,p4,e化物語2GSED,42,42
383,p4,e花の慶次～傾奇一転H6,41,42
385,p4,eとある魔術の禁書目録　一方通行 最狂RRA,40,42
386,p4,eベルセルク無双2HM4,39,42
387,p4,e女神のカフェテラスJLZ,38,42
388,p4,eゴジラ対エヴァンゲリオン2TR,37,42
500,p4,eゴジラ対エヴァンゲリオン2TR,36,42
501,p4,e牙狼トリプルバーストRF,35,42
502,p4,e真・一騎当千～軍神覚醒～AM－TS,34,42
503,p4,e地獄少女7500Ver．RHZ,33,42
505,p4,e地獄少女7500Ver．RHZ,32,42
506,新台p4,e東京喰種MW,32,39
507,新台p4,e東京喰種MW,33,39
508,新台p4,e東京喰種MW,34,39
510,p4,e東京喰種MW,35,39
511,p4,e東京喰種MW,36,39
512,p4,e女神のカフェテラスJLZ,37,39
513,p4,e女神のカフェテラスJLZ,38,39
515,p4,e虚構推理MHJT,39,39
516,p4,e真北斗無双5SFEE,40,39
517,p4,e真北斗無双5SFEE,41,39
518,p4,P貞子FMD,42,39
520,p4,Pいくさの子戦極最強GRPJ,43,39
521,p4,P閃乱カグラLTN－FS,44,39
522,p4,Pゴジラ対エヴァンゲリオン2LV,45,39
523,p4,P戦国乙女7H0YZ3,46,39
525,p4,Pフィーバー彼女、お借りしますLR,47,39
526,p4,P黄門ちゃま9ME2,48,39
527,p4,P黄門ちゃま9ME2,49,39
528,p4,P織田信奈の野望全国版V4A,50,39
530,p4,P沖ドキ！LG,51,39
531,p1,PA大海物語5ARBC,51,38
532,p1,PA大海物語5ARBC,50,38
533,p1,PA大海物語5ARBC,49,38
535,p1,PA大海物語5ARBC,48,38
536,p1,PA大海物語5ARBC,47,38
537,p1,PA大海物語5ARBC,46,38
538,p1,PA大海物語5ARBC,45,38
550,p1,PA大海物語5ARBC,44,38
551,p1,PA大海物語5ARBC,43,38
552,p1,PA大海物語5ARBC,42,38
553,p1,PA大海物語5ARBC,41,38
555,p1,PA大海物語5ARBC,40,38
556,p1,PA大海物語5ARBC,39,38
557,p1,PA大海物語5ARBC,38,38
558,p1,PA大海物語5ARBC,37,38
560,p1,PA大海物語5ARBC,36,38
561,p1,PA大海物語5ARBC,35,38
562,p1,PA大海物語5ARBC,34,38
563,p1,PA大海物語5ARBC,33,38
565,p1,PA大海物語5ARBC,32,38
566,p1,PA大海物語5ARBC,32,35
567,p1,PA大海物語5ARBC,33,35
568,p1,PA大海物語5ARBC,34,35
570,p1,PA大海物語5ARBC,35,35
571,p1,PA大海物語5ARBC,36,35
572,p1,PA大海物語5ARBC,37,35
573,p1,PA大海物語5ARBC,38,35
575,p1,PA大海物語5ARBC,39,35
576,p1,PA大海物語5ARBC,40,35
577,p1,PA大海物語5ARBC,41,35
578,p1,PA大海物語5ARBC,42,35
580,p1,PA大海物語5ARBC,43,35
581,p1,PA大海物語5ARBC,44,35
582,p1,PA大海物語5ARBC,45,35
583,p1,PA大海物語5ARBC,46,35
585,p1,PA大海物語5ARBC,47,35
586,p1,PA大海物語5ARBC,48,35
587,p1,PA大海物語5ARBC,49,35
588,p1,PA大海物語5ARBC,50,35
600,p1,PA大海物語5ARBC,51,35
601,p1,P銀河鉄道999NJL0YU1Y,51,34
602,p1,P冬のソナタMyMemoryMA2,50,34
603,p1,PA野生の王国6N2,49,34
605,p1,PA清流物語4HBB,48,34
606,p1,P北斗の拳強敵SSPA,47,34
607,p1,P花の慶次～裂N2-VC,46,34
608,p1,PAフィーバークィーンⅡYS,45,34
610,p1,P宇宙戦艦ヤマト2202 ONLY ONE YR,44,34
611,p1,PA海物語極ジャパンHBD,43,34
612,p1,PA海物語極ジャパンHBD,42,34
613,p1,PA新海物語ARBB,41,34
615,p1,PA新海物語ARBB,40,34
616,p1,PA新海物語ARBB,39,34
617,p1,PA新海物語ARBB,38,34
618,p1,PA新海物語ARBB,37,34
620,p1,PA新海物語ARBB,36,34
621,p1,PA新海物語ARBB,35,34
622,p1,PA新海物語ARBB,34,34
623,p1,PA新海物語ARBB,33,34
625,p1,PA新海物語ARBB,32,34
626,p1,PA大海物語5HLD,32,31
627,p1,PA大海物語5HLD,33,31
628,p1,PA大海物語5HLD,34,31
630,p1,PA大海物語5HLD,35,31
631,p1,PA大海物語5HLD,36,31
632,p1,PA大海物語5HLD,37,31
633,p1,PA大海物語5HLD,38,31
635,p1,PAスーパー海物語IN沖縄5YBA,39,31
636,p1,PAスーパー海物語IN沖縄5YBA,40,31
637,p1,PAスーパー海物語IN沖縄5YBA,41,31
638,p1,PAスーパー海物語IN沖縄6RBD,42,31
650,p1,PAスーパー海物語IN沖縄6RBD,43,31
651,p1,PAスーパー海物語IN沖縄6RBD,44,31
652,p1,PAスーパー海物語IN沖縄6RBD,45,31
653,p1,PAスーパー海物語IN沖縄6RBD,46,31
655,p1,P戦国乙女レジェンドバトル9YU1Y,47,31
656,p1,PA清流物語4HBB,48,31
657,p1,PA花の慶次～裂N3-VY,49,31
658,p1,Pデジハネ北斗の拳慈母SSPC,50,31
660,p1,P宇宙戦艦ヤマト2202 ONLY ONE YR,51,31
661,p1,P魔法少女まどか☆マギカ3MAJ1,51,30
662,p1,PA野生の王国5 N－K,50,30
663,p1,P転生したらスライムだった件ARJ,49,30
665,p1,PAフィーバーからくりサーカス2YF,48,30
666,p1,PA花の慶次～傾奇一転N,47,30
667,p1,P真・花の慶次3N－K,46,30
668,p1,P天才バカボン6FD－RS,45,30
670,p1,P花の慶次～裂N2-VC,44,30
671,p1,P銀河鉄道999NJL0YU1Y,43,30
672,p1,P天才バカボン7～福神スペック～LTH－JH,42,30
673,p1,P新世紀エヴァンゲリオン15 未来への咆哮Y,41,30
675,p1,P／Re：ゼロから始める異世界生活season2／A10,40,30
676,p1,P北斗の拳強敵SSPA,39,30
677,p1,Pゲゲゲの鬼太郎 獅子奮迅99Ver．RWC,38,30
678,p1,PAフィーバーうたわれるものY,37,30
680,p1,PフィーバーからくりサーカスY,36,30
681,p1,P新世紀エヴァンゲリオン15 未来への咆哮Y,35,30
682,p1,P／Re：ゼロから始める異世界生活鬼がかりver／A03,34,30
683,p1,PAコマコマ倶楽部with坂本冬美VS1,33,30
685,p1,Pフィーバー炎炎ノ消防隊YR,32,30
686,p1,PA野生の王国6N2,32,27
687,p1,PAアズールレーンTHE ANIMATION～異次元トリガー79Ver．～M2,33,27
688,p1,Pうる星やつら2N2－K,34,27
700,p1,P天才バカボン7～福神スペック～LTH－JH,35,27
701,p1,Pフィーバー炎炎ノ消防隊YR,36,27
702,p1,Pデジハネ北斗の拳慈母SSPC,37,27
703,p1,Pシン・エヴァンゲリオンMV,38,27
705,p1,P魔法少女まどか☆マギカ3MAJ1,39,27
706,p1,PAシン・エヴァンゲリオンY,40,27
707,p1,PAアズールレーンTHE ANIMATION～異次元トリガー79Ver．～M2,41,27
708,p1,Pデビルマン黄金黙示録N－K1 YT250,42,27
710,p1,P新世紀エヴァンゲリオン15 未来への咆哮Y,43,27
711,p1,P桃剣鬼神AD,44,27
712,p1,PA義風堂々！！～兼続と慶次～3N－X,45,27
713,p1,P北斗の拳強敵SSPA,46,27
715,p1,PAフィーバーダンまち2YG,47,27
716,p1,Pデビルマン黄金黙示録N－K1 YT250,48,27
717,p1,P戦国乙女7L0YU1,49,27
718,p1,PA真・花の慶次2N2－X1,50,27
720,p1,PA義風堂々！！～兼続と慶次～3N－X,51,27
721,p1,Pポチッと一発おだてブタ2V1,51,26
722,p1,P遊moreLTエガブレイブAX4,50,26
723,p1,PアズールレーンTHE ANIMATION～異次元トリガー199～M4,49,26
725,p1,P防振り 極振り129verFVZ,48,26
726,p1,P／Re：ゼロから始める異世界生活鬼がかりver／L07,47,26
727,p1,Pシン・エヴァンゲリオンX,46,26
728,p1,Pゴジラ対エヴァンゲリオン2LV,45,26
730,p1,P真北斗無双FWQG,44,26
731,p1,PフィーバーうたわれるものZ,43,26
732,p1,PアズールレーンTHE ANIMATION～異次元トリガー199～M4,42,26
733,p1,P牙狼11～冴島大河～XX－MU,41,26
735,新台p1,P／押忍番長漢の頂／A03,40,26
736,p1,Pフィーバー機動戦士ガンダムユニコーン2 Y,39,26
737,p1,Pにゃんこ大戦争～多様性のネコ～M4,38,26
738,p1,P北斗の拳暴凶星SFPA,37,26
750,p1,P新世紀エヴァンゲリオン15 未来への咆哮,36,26
751,p1,P新世紀エヴァンゲリオン15 未来への咆哮,35,26
752,p1,P新世紀エヴァンゲリオン15 未来への咆哮,34,26
753,p1,P新世紀エヴァンゲリオン15 未来への咆哮,33,26
755,p1,P新世紀エヴァンゲリオン15 未来への咆哮,32,26
756,p1,P新世紀エヴァンゲリオン15 未来への咆哮,32,23
757,p1,P新世紀エヴァンゲリオン15 未来への咆哮,33,23
758,p1,P新世紀エヴァンゲリオン15 未来への咆哮,34,23
760,p1,P新世紀エヴァンゲリオン15 未来への咆哮,35,23
761,p1,P魔法少女まどか☆マギカ3LM3,36,23
762,p1,P牙狼11～冴島大河～XX－MU,37,23
763,p1,P天才バカボン7～福神スペック～LTH－JH,38,23
765,p1,Pフィーバー彼女、お借りしますLR,39,23
766,p1,Pゴジラ対エヴァンゲリオン2R,40,23
767,p1,Pいくさの子戦極最強GRPJ,41,23
768,p1,P真・花の慶次2M3－VC,42,23
770,p1,e／ワールドダイスター／L04,43,23
771,p1,e必殺仕事人ⅥM2,44,23
772,p1,e必殺仕事人ⅥM2,45,23
773,p1,e／押忍番長漢の頂／L09,46,23
775,p1,eメイヒテンセイCMP,47,23
776,p1,e／ガンゲイル・オンライン／M08,48,23
777,p1,eギンパラVIVAFESTAHTA2,49,23
778,p1,e無職転生～異世界行ったら本気だす～H2E,50,23
780,p1,eカケグルイ～生か死か～LTT－KR,51,23
781,新台p1,e東京喰種MW,51,22
782,p1,eシャーマンキングLB,50,22
783,p1,e女神のカフェテラスJLZ,49,22
785,p1,e牙狼トリプルバーストRF,48,22
786,p1,e真・一騎当千～軍神覚醒～AM－TS,47,22
787,p1,e女神のカフェテラスJLZ,46,22
788,p1,e地獄少女7500Ver．RHZ,45,22
800,p1,e真北斗無双5SFEE,44,22
801,p1,e／ワールドダイスター／L04,43,22
802,p1,e魔法少女リリカルなのはHTEZ2,42,22
803,p1,e牙狼12XX－MJ,41,22
805,p1,ｅフィーバーキン肉マン,40,22
806,p1,eハイスクールオブザデッド3V1A,39,22
807,p1,eフィーバーもののがたりF,38,22
808,p1,eフィーバーもののがたりF,37,22
810,p1,ｅフィーバーキン肉マン,36,22
811,p1,eフィーバーブルーロックMZ,35,22
812,p1,e魔法少女まどか☆マギカ3LPM1,34,22
813,p1,e新世紀エヴァンゲリオン17 はじまりの記憶R,33,22
815,p1,e新世紀エヴァンゲリオン17 はじまりの記憶R,32,22
816,p1,e東京喰種W,32,19
817,p1,e東京喰種W,33,19
818,p1,e東京喰種W,34,19
820,p1,e東京喰種W,35,19
821,p1,e東京喰種W,36,19
822,p1,e北斗の拳11暴凶星SHEF,37,19
823,p1,e北斗の拳11暴凶星SHEF,38,19
825,p1,e北斗の拳11暴凶星SHEF,39,19
826,p1,e東京リベンジャーズ聖夜決戦編EREC,40,19
827,p1,e／吉宗極乗3000ver／L06,41,19
828,p1,eフィーバー炎炎ノ消防隊2MS,42,19
830,p1,eリコリス・リコイルM3,43,19
831,p1,e魔法少女まどか☆マギカ3LPM1,44,19
832,p1,e東京リベンジャーズGFEC,45,19
833,新台p1,eエデンズゼロAIN,46,19
835,p1,eフィーバーからくりサーカス2R,47,19
836,p1,e無職転生～異世界行ったら本気だす～H2E,48,19
837,p1,e甲鉄城のカバネリ2GFEA,49,19
838,p1,e東京リベンジャーズGFEC,50,19
850,p1,ｅフィーバーキン肉マン,51,19
851,p4,e牙狼12XX－MJ,28,66
852,p4,e牙狼12XX－MJ,27,66
853,p4,e牙狼12XX－MJ,26,66
855,p4,e牙狼12XX－MJ,25,66
856,p4,e牙狼12XX－MJ,24,66
857,新台p4,eフィーバー機動戦士ガンダムSEED2bF,23,66
858,新台p4,eフィーバー機動戦士ガンダムSEED2bF,22,66
860,新台p4,eフィーバー機動戦士ガンダムSEED2bF,21,66
861,新台p4,eフィーバー機動戦士ガンダムSEED2bF,20,66
862,新台p4,eフィーバー機動戦士ガンダムSEED2bF,19,66
863,p4,ｅフィーバーキン肉マン,18,66
865,p4,ｅフィーバーキン肉マン,17,66
866,p4,ｅフィーバーキン肉マン,16,66
867,p4,ｅフィーバーキン肉マン,15,66
868,p4,ｅフィーバーキン肉マン,14,66
870,p4,ｅフィーバーキン肉マン,13,66
871,p4,ｅフィーバーキン肉マン,12,66
872,p4,ｅフィーバーキン肉マン,11,66
873,p4,ｅフィーバーキン肉マン,10,66
875,p4,ｅフィーバーキン肉マン,9,66
876,p4,eフィーバーバスタードG,9,63
877,新台p4,eエデンズゼロAIN,10,63
878,p4,e東京喰種W,11,63
880,p4,e東京喰種W,12,63
881,p4,e東京喰種W,13,63
882,p4,e東京喰種W,14,63
883,p4,e東京喰種W,15,63
885,p4,e東京喰種W,16,63
886,p4,e東京喰種W,17,63
887,p4,e東京喰種W,18,63
888,p4,e東京喰種W,19,63
1000,p4,e東京喰種W,20,63
1001,p4,e東京喰種W,21,63
1002,p4,e東京喰種W,22,63
1003,p4,e東京喰種W,23,63
1005,p4,e東京喰種W,24,63
1006,p4,e東京喰種W,25,63
1007,p4,e東京喰種W,26,63
1008,p4,e東京喰種W,27,63
1010,p4,e東京喰種W,28,63
1011,p4,e北斗の拳11暴凶星SHEF,28,62
1012,p4,e北斗の拳11暴凶星SHEF,27,62
1013,p4,e北斗の拳11暴凶星SHEF,26,62
1015,p4,e北斗の拳11暴凶星SHEF,25,62
1016,p4,e北斗の拳11暴凶星SHEF,24,62
1017,p4,e北斗の拳11暴凶星SHEF,23,62
1018,p4,e北斗の拳11暴凶星SHEF,22,62
1020,p4,e北斗の拳11暴凶星SHEF,21,62
1021,p4,e北斗の拳11暴凶星SHEF,20,62
1022,p4,eひきこまり吸血姫の悶々FHV,19,62
1023,p4,eひきこまり吸血姫の悶々FHV,18,62
1025,p4,eひきこまり吸血姫の悶々FHV,17,62
1026,p4,e東京リベンジャーズ聖夜決戦編EREC,16,62
1027,p4,e東京リベンジャーズ聖夜決戦編EREC,15,62
1028,p4,e東京リベンジャーズ聖夜決戦編EREC,14,62
1030,p4,e／押忍番長漢の頂／L09,13,62
1031,p4,e／押忍番長漢の頂／L09,12,62
1032,p4,e／押忍番長漢の頂／L09,11,62
1033,p4,e／押忍番長漢の頂／L09,10,62
1035,p4,e／押忍番長漢の頂／L09,9,62
1036,p4,e新世紀エヴァンゲリオン17 はじまりの記憶R,9,59
1037,p4,e新世紀エヴァンゲリオン17 はじまりの記憶R,10,59
1038,p4,e新世紀エヴァンゲリオン17 はじまりの記憶R,11,59
1050,p4,e新世紀エヴァンゲリオン17 はじまりの記憶R,12,59
1051,p4,e新世紀エヴァンゲリオン17 はじまりの記憶R,13,59
1052,p4,e新世紀エヴァンゲリオン17 はじまりの記憶R,14,59
1053,p4,e新世紀エヴァンゲリオン17 はじまりの記憶R,15,59
1055,p4,e新世紀エヴァンゲリオン17 はじまりの記憶R,16,59
1056,p4,e新世紀エヴァンゲリオン17 はじまりの記憶R,17,59
1057,p4,e新世紀エヴァンゲリオン17 はじまりの記憶R,18,59
1058,p4,e新世紀エヴァンゲリオン17 はじまりの記憶R,19,59
1060,p4,e新世紀エヴァンゲリオン17 はじまりの記憶R,20,59
